idx,symbol,color,radius
1,H,#78b0f4,0.4
2,He,#9fddf4,0.5
3,Li,#d49cf4,0.5
4,Be,#e8da1a,0.5
5,B,#f2cbc2,0.5
6,C,#403d3c,0.5
7,N,#3e62f0,0.5
8,O,#f02228,0.5
9,F,#97f0da,0.5
10,Ne,#48d9c5,0.5
11,Na,#be8cdb,0.5
12,Mg,#d4c717,0.5
13,Al,#e0bcb4,0.5
14,Si,#54514f,0.5
15,P,#ebb631,0.5
16,S,#ebe72a,0.5
17,Cl,#30d41e,0.5
18,Ar,#3bb3a3,0.5
19,K,#aa7ec4,0.5
20,Ca,#baaf14,0.5
21,Sc,#baaf14,0.5
22,Ti,#baaf14,0.5
23,V,#baaf14,0.5
24,Cr,#baaf14,0.5
25,Mn,#baaf14,0.5
26,Fe,#baaf14,0.5
27,Co,#baaf14,0.5
28,Ni,#baaf14,0.5
29,Cu,#baaf14,0.5
30,Zn,#baaf14,0.5